,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
26,2023-02-15,163.85103590641558,142.00134328450852,199.12921457094055,163.85103590641558,163.85103590641558,6.403556996554761,6.403556996554761,6.403556996554761,6.403556996554761,6.403556996554761,6.403556996554761,0.0,0.0,0.0,170.25459290297033
27,2023-02-16,164.24608740726248,140.11208092232332,197.3943946603113,164.24608740726248,164.24608740726248,5.3893656093165365,5.3893656093165365,5.3893656093165365,5.3893656093165365,5.3893656093165365,5.3893656093165365,0.0,0.0,0.0,169.63545301657902
28,2023-02-17,164.64113890810938,143.04540572017896,197.35392849688284,164.64113890810938,164.64113890810938,5.867530937210409,5.867530937210409,5.867530937210409,5.867530937210409,5.867530937210409,5.867530937210409,0.0,0.0,0.0,170.5086698453198
29,2023-02-21,166.22134491149694,145.7646792155701,204.5786814577891,166.22134491149694,166.22134491149694,6.95278955896152,6.95278955896152,6.95278955896152,6.95278955896152,6.95278955896152,6.95278955896152,0.0,0.0,0.0,173.17413447045845
30,2023-02-22,166.61639641234387,144.25245328150226,200.61307204973895,166.61639641234387,166.61639641234387,6.403556996551622,6.403556996551622,6.403556996551622,6.403556996551622,6.403556996551622,6.403556996551622,0.0,0.0,0.0,173.0199534088955
31,2023-02-23,167.01144791319078,143.28969331975654,200.31379843805993,167.01144791319078,167.01144791319078,5.389365609302053,5.389365609302053,5.389365609302053,5.389365609302053,5.389365609302053,5.389365609302053,0.0,0.0,0.0,172.40081352249283
32,2023-02-24,167.40649941403765,143.8925512079831,199.53417108103483,167.40649941403765,167.40649941403765,5.867530937254369,5.867530937254369,5.867530937254369,5.867530937254369,5.867530937254369,5.867530937254369,0.0,0.0,0.0,173.27403035129203
33,2023-02-27,168.58952288357762,144.30142595435356,201.75786557104254,168.58952288357762,168.58952288357762,4.858815854028073,4.858815854028073,4.858815854028073,4.858815854028073,4.858815854028073,4.858815854028073,0.0,0.0,0.0,173.4483387376057
34,2023-02-28,168.98386404009094,149.2845923596625,204.21262823970974,168.98386404009094,168.98386404009094,6.95278955897352,6.95278955897352,6.95278955897352,6.95278955897352,6.95278955897352,6.95278955897352,0.0,0.0,0.0,175.93665359906444
35,2023-03-01,169.37820519660426,148.22514637072842,204.4026195444379,169.37820519660426,169.37820519660426,6.403556996548478,6.403556996548478,6.403556996548478,6.403556996548478,6.403556996548478,6.403556996548478,0.0,0.0,0.0,175.78176219315273
